folder_name_row,word,pos_tag,ner_tag,custom_tag
00002_51,26,NU,B_D`TM,I_CLS
00002_90,รปภ.,NN,B,I_CLS
00002_118,รปภ.,NN,B,I_CLS
00002_168,รปภ.,NN,B,I_CLS
00002_174,รปภ.,NN,B,I_CLS
00002_208,รปภ.,NN,B,I_CLS
00002_404,รปภ.,NN,B,I_CLS
00015_976,ครม.,NN,B,I_CLS
00019_138,จนท.,NN,B,I_CLS
00019_732,พ.ร.บ.,NN,B,I_CLS
00019_814,ครม.,NN,B,I_CLS
00019_880,ผอ.,NN,B,I_CLS
00019_1118,ครม.,NN,B,E_CLS
00019_1178,ครม.,NN,B,E_CLS
00019_1646,พ.ร.บ.,NN,B,B_CLS
00023_15,จว.,NN,B,I_CLS
00027_101,พ.ร.บ.,NN,B,I_CLS
00027_924,พ.ร.บ.,NN,B,I_CLS
00032_11,ศก.,NN,B,I_CLS
00032_23,ศก.,NN,B,I_CLS
00037_187,พ.ร.บ.,NN,B,I_CLS
00042_792,พ.ร.ก.,NN,B,I_CLS
00042_2426,พ.ร.ก.,NN,B,I_CLS
00061_117,ผบช.น.,NN,B,I_CLS
00068_629,ศก.,NN,B,I_CLS
00068_1222,ศก.,NN,B,I_CLS
00074_0,ผบช.,NN,B,B_CLS
00074_16,ผบช.,NN,B,B_CLS
00075_0,จนท.,NN,B,B_CLS
00077_6,ศก.,NN,B,I_CLS
00078_73,ศก.,NN,B,I_CLS
00080_2500,ครม.,NN,B,I_CLS
00080_2537,ครม.,NN,B,E_CLS
00080_2927,ครม.,NN,B,I_CLS
00082_0,รร.,NN,B,B_CLS
00083_47,ม.,NN,B,I_CLS
00083_62,ชรบ.,NN,B,I_CLS
00083_327,ชรบ.,NN,B,I_CLS
00086_180,ส.ว.,NN,B,E_CLS
00086_252,ส.ว.,NN,B,I_CLS
00086_259,ส.ว.,NN,B,B_CLS
00093_272,ศก.,NN,B,I_CLS
00100_14,มทภ.,NN,B,I_CLS
00100_17,จนท.,NN,B,B_CLS
00100_48,มทภ.,NN,B,I_CLS
00112_264,ครม.,NN,B,I_CLS
00112_274,พ.ร.บ.,NN,B,I_CLS
00115_133,ไอซียู.,NN,B,E_CLS
00118_22,จยย.,NN,B,I_CLS
00119_394,ครม.,NN,B,I_CLS
00119_448,ครม.,NN,B,I_CLS
00119_506,ครม.,NN,B,I_CLS
00119_520,ครม.,NN,B,E_CLS
00121_332,พ.ร.บ.,NN,B,I_CLS
00137_0,ร.ร.,NN,B,B_CLS
00137_15,ร.ร.,NN,B,B_CLS
00141_13,ส.ส.,NN,B,I_CLS
00152_151,พ.ร.บ.,NN,B,I_CLS
00155_13,ศก.,NN,B,E_CLS
00157_167,ครม.,NN,B,I_CLS
00160_62,จนท.,NN,B,I_CLS
00170_761,บช.ปส.,NN,B,I_CLS
00171_71,จยย.,NN,B,I_CLS
00175_695,ครม.,NN,B,I_CLS
00175_3583,ผอ.,NN,B,I_CLS
00187_286,พ.ร.บ.,NN,B,I_CLS
00187_583,พ.ร.บ.,NN,B,I_CLS
00187_707,พ.ร.บ.,NN,B,I_CLS
00192_250,พ.ร.บ.,NN,B,I_CLS
00192_573,พ.ร.บ.,NN,B,I_CLS
00193_47,ตร.,NN,B,I_CLS
00194_761,ครม.,NN,B,I_CLS
00194_804,ผอ.,NN,B,I_CLS
00194_1068,ส.ว.,NN,B,I_CLS
00195_36,จว.,NN,B,I_CLS
00200_12,จยย.,NN,B,E_CLS
00200_73,จยย.,NN,B,I_CLS
00200_101,พ.ร.บ.,NN,B,I_CLS
00200_170,จยย.,NN,B,I_CLS
00200_187,จยย.,NN,B,I_CLS
00200_222,จยย.,NN,B,I_CLS
00200_298,จยย.,NN,B,I_CLS
00200_320,จยย.,NN,B,E_CLS
00200_338,จยย.,NN,B,I_CLS
00200_438,จยย.,NN,B,E_CLS
00202_376,รปภ.,NN,B,I_CLS
00202_463,รปภ.,NN,B,I_CLS
00202_555,รปภ.,NN,B,E_CLS
00207_30,พ.ร.บ.,NN,B,I_CLS
00207_364,พ.ร.บ.,NN,B,I_CLS
00207_713,พ.ร.บ.,NN,B,I_CLS
00209_11,พ.ร.ก.,NN,B,I_CLS
00209_41,พ.ร.ก.,NN,B,I_CLS
00209_65,พ.ร.ก.,NN,B,B_CLS
00209_89,พ.ร.ก.,NN,B,I_CLS
00209_192,พ.ร.ก.,NN,B,B_CLS
00209_272,พ.ร.ก.,NN,B,B_CLS
00209_285,พ.ร.ก.,NN,B,I_CLS
00214_157,พ.ร.บ.,NN,B,I_CLS
00217_0,มทภ.,NN,B,B_CLS
00217_30,พ.ร.บ.,NN,B,I_CLS
00217_74,พ.ร.บ.,NN,B,I_CLS
00217_102,พ.ร.บ.,NN,B,I_CLS
00217_114,ครม.,NN,B,I_CLS
00217_138,พ.ร.บ.,NN,B,I_CLS
00217_217,พ.ร.บ.,NN,B,I_CLS
00217_381,พ.ร.บ.,NN,B,I_CLS
00217_505,พ.ร.บ.,NN,B,I_CLS
00217_727,พ.ร.บ.,NN,B,B_CLS
00217_831,พ.ร.บ.,NN,B,I_CLS
00217_850,พ.ร.บ.,NN,B,I_CLS
00217_943,พ.ร.บ.,NN,B,I_CLS
00217_1000,พ.ร.บ.,NN,B,I_CLS
00217_1151,พ.ร.บ.,NN,B,I_CLS
00229_22,พ.ร.บ.,NN,B,I_CLS
00229_69,ครม.,NN,B,I_CLS
00229_77,พ.ร.บ.,NN,B,I_CLS
00229_162,พ.ร.บ.,NN,B,I_CLS
00233_223,จยย.,NN,B,I_CLS
00233_615,จยย.,NN,B,I_CLS
00236_30,พ.ร.บ.,NN,B,I_CLS
00236_887,พ.ร.บ.,NN,B,I_CLS
00236_911,พ.ร.บ.,NN,B,I_CLS
00236_1492,พ.ร.บ.,NN,B,I_CLS
00239_1250,ครม.,NN,B,I_CLS
00239_1257,ครม.,NN,B,B_CLS
00239_1276,ครม.,NN,B,I_CLS
00239_1838,ครม.,NN,B,I_CLS
00239_1933,ครม.,NN,B,I_CLS
00241_1,ครม.,NN,B,I_CLS
00241_16,ครม.,NN,B,B_CLS
00241_196,ครม.,NN,B,I_CLS
00241_244,ครม.,NN,B,I_CLS
00241_297,ครม.,NN,B,B_CLS
00241_451,ครม.,NN,B,B_CLS
00241_606,ครม.,NN,B,I_CLS
00241_657,ครม.,NN,B,B_CLS
00241_861,ครม.,NN,B,E_CLS
00241_879,ครม.,NN,B,I_CLS
00241_2311,ครม.,NN,B,B_CLS
00241_3309,มท.1,NN,B,I_CLS
00241_3428,ครม.,NN,B,I_CLS
00241_3448,ครม.,NN,B,I_CLS
00241_3473,ครม.,NN,B,I_CLS
00241_4038,พ.ร.บ.,NN,B,E_CLS
00251_277,พ.ร.บ.,NN,B,I_CLS
00255_7,จยย.,NN,B,I_CLS
00259_271,พ.ร.บ.,NN,B,I_CLS
00261_80,รปภ.,NN,B,B_CLS
00261_262,จยย.,NN,B,I_CLS
00261_286,จยย.,NN,B,I_CLS
00261_417,จยย.,NN,B,I_CLS
00261_474,จยย.,NN,B,I_CLS
00261_1402,พรก.,NN,B,E_CLS
00262_147,พ.ร.บ.,NN,B,I_CLS
00262_204,พ.ร.บ.,NN,B,I_CLS
00262_221,พ.ร.บ.,NN,B,I_CLS
00262_294,พ.ร.บ.,NN,B,I_CLS
00264_525,รปภ.,NN,B,I_CLS
00280_0,มท.1,NN,B,B_CLS
